"Ano","Regiao","Chefe_Sim_Nao","Sexo","n","Percentual"
"2016","Norte","Sim","Homem",3185,61.7
"2016","Norte","Sim","Mulher",1973,38.3
"2016","Norte","Não","Homem",2474,49.7
"2016","Norte","Não","Mulher",2507,50.3
"2016","Nordeste","Sim","Homem",4068,58.9
"2016","Nordeste","Sim","Mulher",2838,41.1
"2016","Nordeste","Não","Homem",3223,47.3
"2016","Nordeste","Não","Mulher",3584,52.7
"2016","Centro-Oeste","Sim","Homem",2612,59.8
"2016","Centro-Oeste","Sim","Mulher",1755,40.2
"2016","Centro-Oeste","Não","Homem",1797,44.8
"2016","Centro-Oeste","Não","Mulher",2215,55.2
"2016","Sudeste","Sim","Homem",4284,63.4
"2016","Sudeste","Sim","Mulher",2470,36.6
"2016","Sudeste","Não","Homem",2554,42.4
"2016","Sudeste","Não","Mulher",3470,57.6
"2016","Sul","Sim","Homem",1619,61.1
"2016","Sul","Sim","Mulher",1031,38.9
"2016","Sul","Não","Homem",920,40.8
"2016","Sul","Não","Mulher",1334,59.2
"2019","Norte","Sim","Homem",2799,58
"2019","Norte","Sim","Mulher",2029,42
"2019","Norte","Não","Homem",2577,53
"2019","Norte","Não","Mulher",2287,47
"2019","Nordeste","Sim","Homem",3586,55.9
"2019","Nordeste","Sim","Mulher",2834,44.1
"2019","Nordeste","Não","Homem",3155,48.7
"2019","Nordeste","Não","Mulher",3324,51.3
"2019","Centro-Oeste","Sim","Homem",2341,57.1
"2019","Centro-Oeste","Sim","Mulher",1756,42.9
"2019","Centro-Oeste","Não","Homem",1910,47.2
"2019","Centro-Oeste","Não","Mulher",2135,52.8
"2019","Sudeste","Sim","Homem",3576,57.4
"2019","Sudeste","Sim","Mulher",2657,42.6
"2019","Sudeste","Não","Homem",2865,47.1
"2019","Sudeste","Não","Mulher",3220,52.9
"2019","Sul","Sim","Homem",1368,56.5
"2019","Sul","Sim","Mulher",1053,43.5
"2019","Sul","Não","Homem",1116,48.3
"2019","Sul","Não","Mulher",1196,51.7
"2022","Norte","Sim","Homem",2254,53.7
"2022","Norte","Sim","Mulher",1947,46.3
"2022","Norte","Não","Homem",2575,55.3
"2022","Norte","Não","Mulher",2078,44.7
"2022","Nordeste","Sim","Homem",2701,52.1
"2022","Nordeste","Sim","Mulher",2487,47.9
"2022","Nordeste","Não","Homem",3058,53.6
"2022","Nordeste","Não","Mulher",2647,46.4
"2022","Centro-Oeste","Sim","Homem",1924,52.4
"2022","Centro-Oeste","Sim","Mulher",1747,47.6
"2022","Centro-Oeste","Não","Homem",1899,51.2
"2022","Centro-Oeste","Não","Mulher",1808,48.8
"2022","Sudeste","Sim","Homem",2879,53.2
"2022","Sudeste","Sim","Mulher",2529,46.8
"2022","Sudeste","Não","Homem",2703,51
"2022","Sudeste","Não","Mulher",2595,49
"2022","Sul","Sim","Homem",1133,50.9
"2022","Sul","Sim","Mulher",1093,49.1
"2022","Sul","Não","Homem",1008,49.4
"2022","Sul","Não","Mulher",1031,50.6
"2025","Norte","Sim","Homem",2359,53
"2025","Norte","Sim","Mulher",2092,47
"2025","Norte","Não","Homem",2472,55
"2025","Norte","Não","Mulher",2021,45
"2025","Nordeste","Sim","Homem",3108,51.5
"2025","Nordeste","Sim","Mulher",2923,48.5
"2025","Nordeste","Não","Homem",2901,50.8
"2025","Nordeste","Não","Mulher",2812,49.2
"2025","Centro-Oeste","Sim","Homem",2102,53.9
"2025","Centro-Oeste","Sim","Mulher",1798,46.1
"2025","Centro-Oeste","Não","Homem",1762,50.2
"2025","Centro-Oeste","Não","Mulher",1748,49.8
"2025","Sudeste","Sim","Homem",3225,53.1
"2025","Sudeste","Sim","Mulher",2847,46.9
"2025","Sudeste","Não","Homem",2820,49.8
"2025","Sudeste","Não","Mulher",2841,50.2
"2025","Sul","Sim","Homem",1264,50.8
"2025","Sul","Sim","Mulher",1225,49.2
"2025","Sul","Não","Homem",1101,51.2
"2025","Sul","Não","Mulher",1050,48.8
