"Ano","Regiao","Branco_n","Branco_Percentual","Preto/Pardo_n","Preto/Pardo_Percentual"
"2016","Norte",2252,22.2,7887,77.8
"2016","Nordeste",3728,27.2,9985,72.8
"2016","Centro-Oeste",3291,39.3,5088,60.7
"2016","Sudeste",6871,53.8,5907,46.2
"2016","Sul",4058,82.7,846,17.3
"2019","Norte",2246,23.2,7446,76.8
"2019","Nordeste",3469,26.9,9430,73.1
"2019","Centro-Oeste",3156,38.8,4986,61.2
"2019","Sudeste",6337,51.4,5981,48.6
"2019","Sul",3747,79.2,986,20.8
"2022","Norte",1967,22.2,6887,77.8
"2022","Nordeste",3115,28.6,7778,71.4
"2022","Centro-Oeste",2799,37.9,4579,62.1
"2022","Sudeste",5521,51.6,5185,48.4
"2022","Sul",3357,78.7,908,21.3
"2025","Norte",2064,23.1,6880,76.9
"2025","Nordeste",3518,30,8226,70
"2025","Centro-Oeste",2903,39.2,4507,60.8
"2025","Sudeste",5980,51,5753,49
"2025","Sul",3527,76,1113,24
