"Ano","Regiao","N","Media","Mediana","DP","P10","P90"
"2016","Norte",10139,13.7,7.7,21.31,4.2,29.17
"2016","Nordeste",13713,12.29,6.84,18.02,3.89,25.93
"2016","Centro-Oeste",8379,18.47,9.72,25.96,4.77,40.83
"2016","Sudeste",12778,18.27,10.27,26.47,5.13,38.89
"2016","Sul",4904,21.14,11.67,30.54,5.62,46.16
"2019","Norte",9692,15.16,8.75,21.24,4.08,32.08
"2019","Nordeste",12899,14.45,7.58,25.77,4.11,29.17
"2019","Centro-Oeste",8142,19.93,11.11,26.1,5.3,46.67
"2019","Sudeste",12318,21.87,11.67,31.76,5.76,46.67
"2019","Sul",4733,25.2,14.32,34.73,6.36,55.88
"2022","Norte",8854,16.79,9.72,22.65,4.86,35
"2022","Nordeste",10893,15.56,8.56,27.3,4.54,29.17
"2022","Centro-Oeste",7378,23.92,12.83,32.8,6.43,53.03
"2022","Sudeste",10706,25.33,14,38.15,6.43,58.33
"2022","Sul",4265,27.75,15.91,38.03,7.07,58.33
"2025","Norte",8944,20.7,12.15,25.69,6.81,40.83
"2025","Nordeste",11744,22.19,11.67,33.86,6.22,46.67
"2025","Centro-Oeste",7410,31.57,17.5,46.69,8.48,70
"2025","Sudeste",11733,33.76,17.71,53.8,8.26,75.83
"2025","Sul",4640,37.57,22.04,50.66,9.55,79.55
